time,hka,mldfa,mpta,jlca,delta,mldta
1.62,142.934,120.906,75.79,-8.049,-0.0009999999999976694,140.895
1.63,142.858,120.931,75.805,-7.984,7.105427357601002e-15,140.84
1.64,142.834,120.958,75.808,-7.984,7.105427357601002e-15,140.845
1.65,142.779,120.968,75.818,-7.929,0.0,140.82
1.66,142.807,120.967,75.812,-7.963,0.0010000000000118803,140.858
1.67,142.828,120.947,75.806,-7.97,0.000999999999990564,140.89
1.68,142.822,120.946,75.807,-7.962,0.0010000000000047748,140.897
1.69,142.784,120.959,75.811,-7.932,1.4210854715202004e-14,140.877
1.7,142.718,120.99,75.823,-7.885,7.105427357601002e-15,140.831
1.71,142.647,121.015,75.83,-7.831,-0.000999999999990564,140.795
1.72,142.578,121.03,75.84,-7.768,0.0,140.759
1.73,142.537,121.038,75.841,-7.733,-0.0010000000000118803,140.752
1.74,142.539,121.035,75.841,-7.733,7.105427357601002e-15,140.757
1.75,142.556,121.023,75.835,-7.744,-1.4210854715202004e-14,140.793
1.76,142.548,121.028,75.84,-7.737,0.0009999999999976694,140.798
1.77,142.535,121.037,75.842,-7.73,0.0,140.81
1.78,142.523,121.052,75.848,-7.727,0.0,140.797
1.79,142.438,121.069,75.855,-7.652,1.4210854715202004e-14,140.774
1.8,142.365,121.096,75.862,-7.598,-0.0010000000000189857,140.731
1.81,142.274,121.113,75.866,-7.52,-0.0010000000000047748,140.719
1.82,142.205,121.139,75.877,-7.467,-1.4210854715202004e-14,140.676
1.83,142.154,121.164,75.886,-7.432,0.0,140.66
1.84,142.145,121.205,75.897,-7.453,0.0,140.62
1.85,142.076,121.227,75.916,-7.387,0.0,140.575
1.86,142.126,121.216,75.906,-7.436,7.105427357601002e-15,140.627
1.87,142.061,121.227,75.912,-7.376,-7.105427357601002e-15,140.61
1.88,142.03,121.248,75.919,-7.359,-7.105427357601002e-15,140.585
1.89,141.947,121.269,75.931,-7.285,-1.4210854715202004e-14,140.537
1.9,141.893,121.298,75.941,-7.25,0.0,140.506
1.91,141.822,121.326,75.955,-7.193,0.0,140.45
1.92,141.81,121.334,75.955,-7.19,0.000999999999990564,140.444
1.93,141.721,121.399,75.991,-7.129,-7.105427357601002e-15,140.317
1.94,141.718,121.419,76.001,-7.137,0.0010000000000189857,140.311
1.95,141.788,121.351,75.966,-7.172,-0.0010000000000189857,140.436
1.96,141.806,121.328,75.958,-7.176,-1.4210854715202004e-14,140.471
1.97,141.813,121.332,75.961,-7.184,1.4210854715202004e-14,140.466
1.98,141.824,121.326,75.96,-7.19,-1.4210854715202004e-14,140.462
1.99,141.842,121.318,75.958,-7.202,-1.4210854715202004e-14,140.466
2.0,141.891,121.299,75.951,-7.239,-7.105427357601002e-15,140.49
