Trajectories																		
100																		
	KNEE MODEL:SHIN1			KNEE MODEL:SHIN3			KNEE MODEL:SHIN2			KNEE MODEL:THIGH2			KNEE MODEL:THIGH3			KNEE MODEL:THIGH1		
Frame	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm
75	-73.6234	560.942	284.661	-137.278	448.808	215.215	49.3515	543.482	197.259	-25.1963	377.554	36.5002	-1.29546	375.521	21.6016	14.8012	400.267	33.4202
76	-73.6504	560.838	284.716	-137.285	448.718	215.222	49.3251	543.446	197.32	-25.2022	377.552	36.5067	-1.28112	375.52	21.6073	14.982	400.256	33.5377
77	-73.7228	560.71	284.775	-137.322	448.612	215.218	49.2749	543.386	197.383	-25.2057	377.553	36.5022	-1.28171	375.517	21.6074	14.9791	400.252	33.5298
78	-73.8273	560.571	284.836	-137.388	448.494	215.208	49.1965	543.328	197.455	-25.2198	377.551	36.5025	-1.28767	375.516	21.6074	14.9748	400.253	33.5293
79	-73.9555	560.424	284.885	-137.465	448.378	215.167	49.1111	543.243	197.548	-25.2091	377.541	36.52	-1.2947	375.509	21.5952	14.9735	400.247	33.5254
80	-74.1421	560.273	284.94	-137.622	448.292	215.073	48.9921	543.1	197.731	-25.2099	377.535	36.5284	-1.30947	375.504	21.6035	14.7842	400.253	33.4209
81	-74.3885	560.138	284.953	-137.794	448.207	214.942	48.8475	542.993	197.906	-25.2073	377.529	36.5014	-1.30455	375.501	21.5987	14.9655	400.242	33.5354
82	-74.6982	560.036	284.945	-137.987	448.116	214.818	48.6629	542.964	198.039	-25.2113	377.527	36.5081	-1.29628	375.498	21.6096	14.9705	400.238	33.545
83	-74.9712	559.966	284.914	-138.131	448.025	214.702	48.4832	542.973	198.114	-25.189	377.528	36.4959	-1.2706	375.503	21.6049	14.8076	400.243	33.417
84	-75.1905	559.913	284.905	-138.264	447.952	214.626	48.3335	542.988	198.181	-25.187	377.526	36.5241	-1.26077	375.507	21.6151	14.9957	400.25	33.5431
85	-75.2901	559.896	284.878	-138.305	447.914	214.578	48.2589	543.005	198.194	-25.1577	377.527	36.5165	-1.24292	375.509	21.6045	15.0127	400.258	33.532
86	-75.3321	559.918	284.871	-138.329	447.927	214.581	48.2269	543.035	198.184	-25.1779	377.528	36.5263	-1.26692	375.508	21.6104	14.8212	400.263	33.428
87	-75.2701	559.984	284.836	-138.305	447.987	214.574	48.2693	543.051	198.146	-25.1697	377.528	36.5172	-1.25491	375.51	21.6016	14.8275	400.263	33.4247
88	-75.1952	560.09	284.804	-138.282	448.09	214.607	48.3275	543.088	198.098	-25.1965	377.533	36.5108	-1.27291	375.51	21.6162	14.9853	400.264	33.5558
89	-75.059	560.252	284.729	-138.207	448.228	214.616	48.4211	543.138	198.002	-25.1813	377.53	36.502	-1.2642	375.51	21.6101	14.9984	400.263	33.5466
90	-74.9115	560.435	284.664	-138.142	448.398	214.656	48.5282	543.21	197.89	-25.1927	377.531	36.528	-1.27775	375.514	21.6156	14.984	400.265	33.5518
91	-74.6712	560.64	284.589	-138.003	448.583	214.699	48.7033	543.29	197.732	-25.179	377.532	36.515	-1.25968	375.514	21.6058	14.817	400.268	33.4202
92	-74.4083	560.822	284.557	-137.86	448.756	214.803	48.894	543.354	197.596	-25.1814	377.53	36.5237	-1.25708	375.515	21.6104	14.9885	400.265	33.5382
93	-74.0866	560.982	284.524	-137.664	448.91	214.89	49.127	543.383	197.465	-25.1533	377.53	36.5213	-1.22964	375.515	21.6098	15.0152	400.261	33.5305
94	-73.8235	561.129	284.508	-137.535	449.055	214.989	49.3133	543.408	197.37	-25.1641	377.53	36.5349	-1.24298	375.512	21.6231	14.8299	400.268	33.4352
95	-73.6355	561.265	284.455	-137.434	449.189	215.034	49.4364	543.449	197.255	-25.1599	377.529	36.5273	-1.24281	375.514	21.6136	14.8323	400.266	33.4252
96	-73.5411	561.382	284.413	-137.407	449.301	215.058	49.4955	543.486	197.182	-25.1863	377.53	36.5316	-1.27773	375.513	21.6165	14.9946	400.267	33.5474
97	-73.5009	561.452	284.364	-137.394	449.366	215.049	49.5204	543.517	197.122	-25.1816	377.532	36.5199	-1.27937	375.513	21.6004	14.9903	400.263	33.5301
98	-73.5141	561.476	284.352	-137.397	449.387	215.037	49.5172	543.523	197.117	-25.1986	377.538	36.503	-1.27972	375.509	21.6012	14.9859	400.265	33.5308
